name,brand,tags,desc,img,amz,rak,yah,a8,label,promo,amz_p,rak_p,yah_p
"ナチュラル チョイス 成犬用 ラム＆玄米 (皮膚被毛・涙やけケア・お悩み別)",Nutro,dog adult skin lamb tear,"高品質なラム肉を使用。食物アレルギーに配慮し、健康な皮膚・被毛の維持をサポートします。",https://unsplash.com,#,#,#,#,人気No.1,,1200,1150,1300
"ナチュラル チョイス 減量用 全犬種用 (体重管理・ダイエット・低カロリー)",Nutro,dog adult diet lamb,"低カロリー・低脂質設計。肥満が気になる愛犬の健康的な減量をサポートします。",https://unsplash.com,#,#,#,#,,,2500,2600,2400
"ワイルド レシピ 鹿肉 (穀物不使用・成犬用・高タンパク・アレルギーケア)",Nutro,dog adult gf tear venison,"野生の食性に近い高タンパク・穀物不使用レシピ。鹿肉を使用し、アレルギーや涙やけにも配慮。",https://unsplash.com,#,#,#,#,高タンパク,,4200,4100,4150
"シュプレモ 成犬用 (全犬種用・涙やけ・栄養バランス・ホリスティック)",Supremo,dog adult tear,"17種類の厳選された自然素材をブレンド。栄養バランスに優れ、健康な体づくりを支えます。",https://unsplash.com,#,#,#,#,Editor's Choice,,3000,3100,2900
"シュプレモ 湖畔のレシピ ラム (穀物不使用・成犬用・涙やけケア・アレルギー)",Supremo,dog adult gf lamb tear,"ラム肉を第一主原料に使用。穀物不使用で消化に優しく、目元の健康（涙やけ）が気になる子にも。",https://unsplash.com,#,#,#,#,,,3500,3400,3600
"シュプレモ エイジングケア (シニア犬用・高齢犬・関節ケア・健康維持)",Supremo,dog senior joint tear,"シニア期の健康維持に配慮。関節の健康を守る栄養素と、高い消化性を兼ね備えています。",https://unsplash.com,#,#,#,#,,,4000,4050,3950
"ロイヤルカナン ミニ デンタル ケア (小型犬用・歯垢・歯石・歯の健康)",Royal Canin,dog adult tooth,"歯垢・歯石が気になる小型犬用。独自の粒形状で、噛むことで歯の汚れを落とします。",https://unsplash.com,#,#,#,#,,,1500,1550,1450
"ロイヤルカナン ダーマコンフォート (皮膚被毛・涙やけ・アレルギー配慮)",Royal Canin,dog adult skin tear,"皮膚が敏感な犬用。オメガ3・6脂肪酸を配合し、健康な皮膚の状態を維持します。",https://unsplash.com,#,#,#,#,,公式サイト限定特典あり,2800,2750,2900
"ロイヤルカナン ユリナリー ケア (猫用・尿路健康・結石予防・腎臓)",Royal Canin,cat adult kidney,"健康な尿を維持したい猫用。ミネラルバランスを調整し、尿路結石の形成を抑制します。",https://unsplash.com,#,#,#,#,,,2000,2100,1950
"シーバ デュオ まぐろ味セレクション (猫用・食いつき・おやつ・偏食)",Sheba,cat adult appetite,"外はカリカリ、中はクリーミー。食欲にムラがある猫ちゃんも喜ぶ贅沢な味わいです。",https://unsplash.com,#,#,#,#,,,800,750,850
